cycle_id,event,start,end,duration_sec,latitude,longitude,cluster_key,is_complete
,espera_carregamento,2025-12-13T11:03:39-03:00,2025-12-13T11:04:04-03:00,26,-11.700213,-47.155386,"-11.700,-47.155",1
35,espera_carregamento,2025-12-13T11:10:12-03:00,2025-12-13T11:10:29-03:00,18,-11.698158,-47.155254,"-11.698,-47.155",1
35,espera_carregamento,2025-12-13T11:11:27-03:00,2025-12-13T11:11:49-03:00,24,-11.698392,-47.155440,"-11.698,-47.155",1
35,espera_carregamento,2025-12-13T11:11:52-03:00,2025-12-13T11:18:04-03:00,374,-11.698387,-47.155440,"-11.698,-47.155",1
35,carregamento,2025-12-13T11:12:34-03:00,2025-12-13T11:18:03-03:00,330,-11.698387,-47.155440,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:18:07-03:00,2025-12-13T11:18:20-03:00,15,-11.698379,-47.155440,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:18:23-03:00,2025-12-13T11:18:41-03:00,20,-11.698376,-47.155439,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:19:53-03:00,2025-12-13T11:20:09-03:00,17,-11.698248,-47.155011,"-11.698,-47.155",1
,espera_carregamento,2025-12-13T11:21:13-03:00,2025-12-13T11:21:45-03:00,33,-11.698973,-47.155375,"-11.699,-47.155",1
,espera_carregamento,2025-12-13T11:22:33-03:00,2025-12-13T11:23:21-03:00,50,-11.699192,-47.155276,"-11.699,-47.155",1
35,basculamento,2025-12-13T11:40:47-03:00,2025-12-13T11:41:06-03:00,20,-11.694154,-47.164340,"-11.694,-47.164",1
35,espera_basculamento,2025-12-13T11:41:10-03:00,2025-12-13T11:43:49-03:00,160,-11.694126,-47.164350,"-11.694,-47.164",1
35,espera_basculamento,2025-12-13T11:43:59-03:00,2025-12-13T11:47:33-03:00,215,-11.694110,-47.164357,"-11.694,-47.164",1
,espera_basculamento,2025-12-13T11:47:42-03:00,2025-12-13T11:48:08-03:00,27,-11.694120,-47.164363,"-11.694,-47.164",1
